,clas,clas_t,reg,reg_T
0,[[0.05787405 0.49734247 0.44478345]],[[0. 0. 1.]],[[35.859573]],[20]
1,[[0.71279585 0.13471162 0.15249252]],[[1. 0. 0.]],[[-0.7923275]],[0]
2,[[0.79532915 0.10112076 0.10355005]],[[1. 0. 0.]],[[-0.9999978]],[0]
3,[[0.10297922 0.47754183 0.41947892]],[[0. 1. 0.]],[[28.983744]],[20]
4,[[0.17116824 0.43436703 0.39446473]],[[0. 1. 0.]],[[21.243382]],[36]
5,[[0.03345567 0.54402274 0.4225215 ]],[[0. 0. 1.]],[[43.854748]],[16]
6,[[0.35851067 0.3402623  0.301227  ]],[[0. 0. 1.]],[[8.394096]],[24]
7,[[0.58657074 0.2142634  0.19916585]],[[1. 0. 0.]],[[-0.99988496]],[0]
8,[[0.14485188 0.4393665  0.41578168]],[[0. 0. 1.]],[[22.060787]],[14]
9,[[0.04480311 0.48449194 0.47070494]],[[0. 0. 1.]],[[44.219715]],[12]
10,[[0.51290214 0.2358926  0.25120527]],[[1. 0. 0.]],[[-0.9999965]],[0]
11,[[0.17949404 0.4222083  0.39829764]],[[0. 0. 1.]],[[20.278635]],[20]
12,[[0.02062921 0.4964384  0.4829323 ]],[[0. 0. 1.]],[[57.715065]],[40]
13,[[0.20634247 0.4099816  0.383676  ]],[[0. 0. 1.]],[[18.268854]],[24]
14,[[0.07468181 0.48679617 0.43852198]],[[0. 0. 1.]],[[33.756306]],[8]
15,[[0.05264914 0.4840484  0.4633025 ]],[[0. 0. 1.]],[[38.25434]],[28]
16,[[0.04635714 0.50940955 0.4442333 ]],[[0. 0. 1.]],[[39.59682]],[58]
17,[[0.4424956  0.25250015 0.30500424]],[[1. 0. 0.]],[[-1.]],[0]
18,[[0.8506197  0.05771598 0.09166433]],[[1. 0. 0.]],[[-1.]],[0]
19,[[0.09068255 0.47882277 0.43049467]],[[0. 1. 0.]],[[29.833834]],[28]
20,[[0.07817374 0.47466573 0.4471606 ]],[[0. 0. 1.]],[[31.45809]],[32]
21,[[0.04877218 0.5143039  0.4369239 ]],[[0. 1. 0.]],[[38.66344]],[40]
22,[[0.8957065  0.05325184 0.05104179]],[[0. 1. 0.]],[[-1.]],[8]
23,[[0.03297844 0.49111572 0.4759058 ]],[[0. 1. 0.]],[[45.62352]],[32]
24,[[0.09121814 0.48231143 0.42647043]],[[0. 1. 0.]],[[30.555664]],[38]
25,[[0.68542194 0.15463717 0.15994087]],[[1. 0. 0.]],[[-0.9979633]],[0]
26,[[0.32782242 0.35597497 0.31620264]],[[0. 1. 0.]],[[8.217468]],[12]
27,[[0.04398169 0.4864222  0.46959606]],[[0. 0. 1.]],[[46.36001]],[28]
28,[[0.02705939 0.48738706 0.48555353]],[[0. 1. 0.]],[[55.306553]],[56]
29,[[0.13277419 0.45199472 0.41523117]],[[0. 0. 1.]],[[23.572094]],[18]
30,[[0.11122592 0.45513788 0.43363622]],[[0. 1. 0.]],[[27.647217]],[24]
31,[[0.07077753 0.4793985  0.44982395]],[[0. 1. 0.]],[[35.654514]],[34]
32,[[0.90592974 0.04533787 0.04873237]],[[1. 0. 0.]],[[-1.]],[0]
33,[[0.09749208 0.46605647 0.43645144]],[[0. 0. 1.]],[[29.339554]],[20]
34,[[0.06205218 0.48374864 0.45419914]],[[1. 0. 0.]],[[36.579716]],[0]
