chr,pos,class,length
14,3088,2,44
1,1024,2,24
6,4544,1,28
13,1433,0,0
5,5252,1,16
19,1912,2,28
15,2968,2,52
4,6383,1,32
16,2506,0,0
5,599,0,0
8,2138,2,20
15,650,0,0
18,2624,0,0
7,166,0,0
2,1468,0,0
9,5268,0,0
6,1740,2,24
11,3770,1,4
12,2000,2,14
1,760,0,0
4,4384,1,28
2,1988,0,0
19,2040,2,6
2,2351,0,0
1,7983,1,37
14,3678,0,0
4,3615,0,0
17,1226,2,4
7,1760,1,48
1,6364,1,36
2,7142,0,0
10,2828,1,20
16,1091,0,0
5,3604,1,26
1,1048,1,24
3,4720,0,0
7,5407,0,0
11,2440,2,22
8,2106,0,0
8,597,0,0
14,3878,0,0
17,38,1,24
4,5341,0,0
11,1386,0,0
3,1564,1,14
9,2397,0,0
6,1258,1,20
9,4520,2,28
4,5648,2,28
6,1795,0,0
6,1686,1,16
2,2045,0,0
7,3268,1,28
16,142,2,14
2,2158,0,0
22,87,0,0
6,4756,0,0
16,1012,1,72
11,695,0,0
5,2328,0,0
1,1124,1,24
22,493,0,0
11,432,2,16
4,3452,1,18
9,5274,2,38
5,5074,1,28
3,4622,1,38
18,1932,1,12
5,2364,2,38
1,2322,0,0
2,5898,1,50
10,636,1,38
21,1342,0,0
14,2100,2,8
5,6956,0,0
13,1100,1,42
9,2414,0,0
8,123,0,0
14,1571,0,0
4,6124,0,0
12,2334,2,8
5,6274,0,0
6,5935,0,0
20,2460,1,24
13,1904,0,0
9,5208,1,28
3,1858,0,0
19,114,0,0
18,940,1,36
12,3313,0,0
7,1918,1,10
4,432,0,0
17,2156,1,40
7,708,2,32
4,3650,2,46
1,362,0,0
1,4429,0,0
3,476,2,28
6,2763,0,0
6,4670,0,0
8,2595,0,0
11,3316,2,12
4,6621,0,0
18,942,0,0
12,1022,1,26
8,5828,1,26
1,6206,2,34
21,665,0,0
13,1683,0,0
3,7609,0,0
20,1448,1,34
8,932,1,12
15,2164,1,54
19,652,1,10
12,516,2,28
5,5079,0,0
13,3996,1,8
11,2383,0,0
19,785,1,6
15,3356,2,28
6,6803,0,0
18,2813,0,0
13,3504,0,0
2,5755,0,0
22,1190,0,0
7,3264,2,16
8,5403,0,0
2,8021,0,0
16,1710,0,0
5,2152,2,56
1,8466,1,8
10,3036,2,16
12,4363,0,0
6,3976,0,0
9,3746,2,30
8,2906,0,0
5,3838,1,24
4,6080,1,52
20,1422,2,40
10,2964,2,12
17,213,0,0
12,196,1,12
12,76,1,40
5,0,1,68
3,6908,0,0
5,4918,2,10
1,2720,2,24
9,4783,0,0
11,328,0,0
2,6116,2,22
18,3000,0,0
5,6459,0,0
1,7120,0,0
20,2135,0,0
9,4684,1,28
18,1188,2,48
20,1819,0,0
20,1055,0,0
2,4606,0,0
18,422,2,24
3,4915,0,0
8,1328,1,12
17,2801,0,0
8,5232,1,36
11,3094,2,28
10,524,0,0
5,2152,1,26
6,5180,0,0
5,5230,1,38
20,786,2,44
15,1989,0,0
6,3750,0,0
2,1236,0,0
9,2948,0,0
15,3912,2,36
6,5412,2,36
3,448,2,32
3,426,0,0
17,2252,1,12
20,1006,0,0
10,2080,1,17
22,1744,2,24
11,3736,2,20
10,4144,2,32
19,520,2,8
1,2292,1,66
4,5063,0,0
10,4557,0,0
2,6622,2,62
9,5203,0,0
14,3732,1,56
1,7208,1,10
15,2369,1,30
4,259,0,0
2,6056,0,0
4,6132,1,16
15,3300,2,32
6,6725,0,0
17,1376,2,4
12,570,2,34
13,2748,0,0
1,2646,0,0
3,4702,0,0
7,4124,1,56
10,5219,0,0
16,1495,0,0
5,2220,1,28
5,4565,0,0
3,6543,0,0
4,5587,0,0
18,2346,0,0
12,4832,0,0
6,60,1,48
10,5280,2,80
8,4092,1,38
6,531,0,0
