chr,pos,class,length
6,5120,1,68
17,2288,2,24
2,1073,0,0
2,1968,0,0
12,3798,2,18
10,4591,0,0
15,2881,1,18
12,4732,2,26
10,342,0,0
4,3092,0,0
2,2768,2,20
8,3628,1,14
6,4446,0,0
7,1718,1,24
6,3233,0,0
1,2398,0,0
4,640,2,12
14,2980,2,40
9,3792,1,32
3,6526,0,0
3,5609,0,0
15,2900,2,18
1,9072,2,8
1,3419,0,0
5,3264,2,40
20,1488,1,20
3,5112,2,20
4,6170,2,22
5,4100,0,0
4,4436,2,24
8,2820,2,44
1,1078,0,0
2,8364,1,4
8,225,0,0
10,1814,0,0
16,1043,0,0
1,5929,0,0
6,6364,2,20
10,3846,0,0
1,320,1,18
15,2556,1,22
11,4482,2,12
2,7244,0,0
6,6712,1,24
2,5584,2,40
8,3591,0,0
4,1741,0,0
17,38,2,38
11,2448,2,6
6,1418,2,8
3,3890,0,0
11,2512,2,6
8,4836,0,0
3,4460,0,0
7,3778,0,0
22,1682,1,34
16,2000,1,36
7,2893,0,0
9,1783,0,0
18,396,1,28
15,2396,2,28
4,3496,1,32
6,6101,0,0
1,6624,1,12
2,1884,2,36
14,159,0,0
3,863,0,0
14,3761,0,0
4,1650,2,22
19,1203,0,0
11,3072,0,0
11,4890,0,0
3,3164,2,16
2,7029,0,0
11,2004,0,0
9,5462,0,0
5,1748,1,44
1,2532,2,28
14,1689,0,0
22,360,0,0
9,4994,2,26
5,84,1,108
5,6760,1,20
2,4685,0,0
20,1904,2,16
7,2146,0,0
12,1967,0,0
9,247,0,0
5,2088,2,6
3,413,0,0
2,744,2,40
11,4916,1,32
1,1452,1,28
14,3460,0,0
7,50,2,12
11,3951,0,0
10,5227,0,0
7,515,0,0
11,3153,0,0
2,735,0,0
2,1450,0,0
8,2918,2,10
18,204,1,30
16,1238,2,10
18,1606,0,0
1,1874,2,32
10,1843,0,0
2,2730,2,96
14,750,0,0
9,925,0,0
7,3814,2,52
4,5862,1,60
9,1108,0,0
2,4740,0,0
18,2379,0,0
2,7490,0,0
15,2400,2,32
10,4142,1,14
16,1412,2,46
19,1556,2,24
5,1506,2,4
3,4510,2,18
2,8624,0,0
14,3439,0,0
1,8759,0,0
15,2599,2,21
11,5230,0,0
3,2858,0,0
20,1153,0,0
4,1600,1,30
8,149,0,0
9,5573,0,0
17,2888,1,18
5,3149,0,0
15,1897,0,0
2,730,0,0
11,4846,2,38
8,1504,1,40
13,3870,2,24
6,6048,1,20
20,732,2,36
20,2322,0,0
3,4563,0,0
11,2958,1,14
14,1698,0,0
5,4460,1,32
19,1958,0,0
2,6278,0,0
9,4328,2,28
12,1714,2,14
1,768,1,40
13,3455,0,0
8,750,1,52
3,7426,1,28
14,2382,1,16
2,6749,0,0
2,356,2,68
2,2954,0,0
1,386,2,28
1,9258,1,12
3,6276,2,28
11,3668,0,0
6,3130,0,0
14,2265,0,0
8,1244,1,96
6,4100,0,0
11,4846,1,14
6,1744,1,32
5,1905,0,0
14,762,0,0
2,8548,0,0
12,4754,1,50
6,6048,1,24
12,3754,1,26
1,8174,2,22
8,4090,0,0
15,95,0,0
18,3016,2,36
1,6776,2,44
18,2444,2,52
20,1079,0,0
20,416,2,44
3,6108,1,52
17,1943,0,0
2,3457,2,23
8,1220,2,20
9,4948,0,0
5,1828,0,0
1,1573,2,34
10,4494,1,18
18,1880,1,40
4,1862,0,0
2,4236,2,40
13,1452,0,0
21,1782,2,10
6,1004,2,12
2,5544,1,40
7,3960,2,20
1,9380,2,10
12,3173,0,0
6,1160,1,24
15,3048,1,40
12,4576,2,20
1,8120,1,32
3,1900,1,28
2,1150,2,34
15,3955,0,0
11,1176,1,64
20,1751,0,0
14,3094,0,0
4,3328,1,20
11,5156,1,32
1,6022,0,0
12,5023,0,0
4,5952,2,8
14,1348,0,0
1,6314,2,14
5,7082,0,0
8,3076,0,0
6,3221,0,0
2,3625,0,0
8,5658,1,40
2,2508,1,44
7,3266,2,22
1,3582,0,0
8,5361,0,0
13,3339,0,0
20,1902,2,12
1,3416,1,14
11,3813,0,0
22,121,0,0
4,5960,2,24
7,3527,0,0
2,4456,2,52
10,4080,2,20
15,1528,2,28
16,2971,0,0
5,5744,2,52
12,2635,0,0
3,2998,0,0
9,3650,0,0
1,74,1,30
12,1772,1,42
16,579,0,0
8,141,0,0
5,4606,0,0
3,3468,2,40
16,3320,0,0
5,4082,0,0
19,468,1,44
15,77,0,0
20,1336,1,20
15,3432,1,24
3,6303,0,0
4,7277,0,0
6,476,0,0
16,1101,0,0
15,246,0,0
20,1584,1,6
7,3716,2,28
17,1346,0,0
15,2340,2,24
1,169,0,0
11,473,0,0
2,7012,2,68
7,5815,0,0
4,6980,2,24
17,1952,2,12
10,2567,1,30
10,618,0,0
5,5213,0,0
16,1599,0,0
3,6163,0,0
18,1589,0,0
1,696,1,8
8,4279,0,0
1,6080,1,52
6,1410,1,8
20,2394,0,0
3,4756,1,22
16,2676,1,24
10,3896,1,28
9,2972,0,0
11,704,2,34
21,1594,1,28
13,920,0,0
4,7222,0,0
9,2930,2,28
19,1778,0,0
2,8656,0,0
21,1562,2,28
12,3770,0,0
1,1309,0,0
3,760,1,52
3,188,2,14
2,5329,0,0
18,2892,2,20
1,9384,1,24
8,2489,0,0
15,3012,1,8
2,5320,1,64
11,3258,0,0
8,2452,2,68
1,443,2,23
1,2787,0,0
16,1769,0,0
4,1952,0,0
1,2214,2,42
3,476,2,32
12,1546,0,0
15,3988,0,0
6,4840,0,0
11,320,1,6
10,460,1,28
3,6133,0,0
5,6872,1,48
21,227,0,0
5,4352,2,40
1,3544,0,0
5,1404,0,0
2,408,1,30
7,4180,1,28
4,1716,2,40
9,1696,0,0
8,4194,0,0
2,2848,1,22
6,4167,0,0
1,3104,1,40
10,2174,2,14
22,1784,2,10
2,5948,2,48
2,2938,2,14
1,3442,0,0
1,9258,1,14
6,6568,0,0
1,2496,1,36
3,5419,0,0
11,4480,2,24
3,7462,1,14
6,4583,0,0
11,3853,0,0
8,867,0,0
13,3257,0,0
11,272,2,34
9,4300,1,40
20,862,0,0
20,1404,1,18
9,5443,0,0
7,3628,2,36
22,1837,0,0
16,1012,2,32
4,5061,0,0
2,1634,2,32
1,8806,0,0
21,1474,0,0
11,4275,0,0
6,1456,2,24
1,9539,0,0
20,1292,1,20
9,400,2,96
2,34,0,0
16,652,2,32
4,2157,0,0
3,3105,0,0
6,6343,1,40
8,1480,1,24
4,4436,1,24
3,7541,0,0
14,3953,0,0
7,2225,0,0
6,1840,2,28
20,208,1,36
3,4893,0,0
16,1831,0,0
8,1396,0,0
6,5412,1,19
21,312,0,0
1,837,0,0
16,1079,0,0
6,1410,2,44
6,3064,2,28
5,2986,1,14
4,5393,0,0
2,6560,2,32
11,482,1,11
4,4128,1,36
5,602,1,54
3,3895,0,0
1,20,0,0
9,4300,1,28
7,3455,0,0
13,3531,0,0
2,6678,0,0
18,1793,0,0
18,1720,2,40
4,6063,0,0
9,1782,0,0
5,1037,0,0
15,688,0,0
11,4664,2,84
17,2972,2,8
10,1978,0,0
1,9517,0,0
3,7838,1,12
9,2924,0,0
4,3433,0,0
13,1306,0,0
13,4408,0,0
6,4532,0,0
21,1797,0,0
1,9699,0,0
7,3614,0,0
3,6839,0,0
13,1836,2,12
13,2308,0,0
2,1224,0,0
3,3156,0,0
2,2432,2,12
3,5092,1,20
20,1280,2,24
8,4992,2,24
5,2201,0,0
4,7028,2,24
8,4992,1,26
1,7863,0,0
15,2176,0,0
11,4084,1,16
10,4128,0,0
3,652,2,16
7,952,1,32
10,1075,0,0
14,2204,0,0
7,4005,0,0
5,1275,0,0
1,4315,0,0
19,2184,2,96
4,1836,0,0
11,4916,2,20
15,3088,1,28
16,3088,2,56
5,5992,1,36
10,653,0,0
7,2197,0,0
1,6008,1,32
14,3616,1,36
5,3141,0,0
20,2338,0,0
5,4176,0,0
3,6248,1,28
12,2313,0,0
16,340,1,32
13,1658,0,0
11,1501,0,0
7,6224,1,28
17,1653,0,0
17,640,0,0
1,1316,1,18
1,7160,1,14
1,4516,2,22
3,6010,2,28
19,280,1,40
4,3348,1,28
18,2086,0,0
1,8832,0,0
19,195,0,0
8,5226,0,0
1,2606,0,0
2,4709,0,0
17,2433,0,0
13,3492,0,0
4,4900,0,0
11,2604,1,8
2,6662,0,0
4,4164,2,36
15,1600,2,40
8,4749,0,0
2,1806,0,0
11,1252,0,0
9,3394,0,0
5,710,0,0
4,2248,1,10
19,2088,1,96
18,1410,0,0
1,2829,0,0
17,943,0,0
6,4876,0,0
5,5960,2,12
12,1072,1,28
1,6138,1,34
2,4004,1,72
8,5575,0,0
20,1916,1,28
9,3341,0,0
15,1475,0,0
8,2353,0,0
18,2770,0,0
7,904,2,20
4,2461,0,0
3,3779,0,0
8,3236,0,0
17,445,0,0
5,6448,0,0
5,4518,2,25
14,1892,0,0
12,4509,0,0
8,2570,1,42
19,313,0,0
11,2582,1,22
20,626,2,62
9,114,2,26
18,130,1,18
3,7700,1,6
9,5050,0,0
18,131,0,0
3,7214,2,40
6,292,1,32
13,4004,2,12
17,2528,1,40
11,1689,0,0
1,3679,0,0
19,700,2,28
17,1310,0,0
21,1073,0,0
13,899,0,0
6,621,0,0
2,4462,2,6
18,2923,0,0
11,2587,0,0
8,2012,0,0
10,4144,1,8
5,1813,0,0
14,1925,0,0
5,604,2,16
5,408,1,24
4,1283,0,0
8,5602,0,0
10,3705,1,18
17,1698,2,8
20,1776,1,10
7,5980,0,0
17,1534,2,8
15,3020,2,8
6,1776,2,32
3,6334,2,42
3,3680,0,0
1,202,0,0
10,976,1,20
22,1904,1,52
19,1554,1,24
2,1202,0,0
6,20,0,0
6,1186,0,0
11,2105,0,0
19,1296,0,0
17,186,0,0
17,2388,1,24
6,6147,0,0
19,1715,0,0
10,2737,0,0
8,634,0,0
8,4973,0,0
10,1832,0,0
9,3419,0,0
3,5343,0,0
6,4334,0,0
5,2460,2,50
6,5834,0,0
22,313,0,0
7,1640,1,40
11,2920,2,24
4,4892,1,20
12,1748,1,18
11,4470,1,12
1,9806,0,0
4,6805,0,0
3,1719,0,0
6,5937,0,0
5,5036,1,38
4,3446,0,0
2,822,1,12
17,575,0,0
5,3480,1,40
16,75,0,0
16,2748,0,0
2,9037,2,7
5,2200,2,22
18,1505,0,0
14,3595,0,0
4,2427,0,0
13,135,0,0
10,3455,0,0
15,2710,1,15
3,1411,0,0
19,1890,2,6
18,1782,1,30
10,2159,0,0
8,3369,0,0
18,2307,0,0
6,5632,0,0
22,1868,0,0
10,2114,0,0
2,2813,0,0
17,2047,0,0
13,817,0,0
7,5952,2,36
7,1823,0,0
17,32,0,0
20,1382,2,21
5,5381,0,0
8,3788,1,36
17,1697,0,0
3,4022,0,0
20,1731,0,0
17,257,0,0
14,2467,0,0
19,780,0,0
6,6006,1,42
6,3582,0,0
2,2634,2,16
15,2976,1,10
15,1854,0,0
12,4300,2,36
12,3718,0,0
11,4031,0,0
21,419,0,0
8,2482,1,20
14,4142,0,0
1,3860,0,0
16,1088,0,0
6,5952,1,20
1,33,0,0
21,9,0,0
20,1619,0,0
7,3318,0,0
13,1100,1,16
5,6454,0,0
3,174,1,14
3,7897,0,0
14,2592,2,40
17,1340,2,88
7,4488,2,32
5,3124,0,0
5,6288,2,26
14,3810,0,0
14,2504,1,48
22,1464,2,36
6,108,2,48
2,6492,2,16
1,8800,2,64
3,1728,0,0
7,5222,2,34
5,6896,2,12
1,2297,0,0
11,1144,0,0
7,5485,0,0
14,1077,0,0
9,1923,0,0
16,2008,0,0
2,5397,0,0
13,3276,0,0
2,7732,0,0
15,3371,0,0
12,2200,1,40
13,2038,0,0
5,3318,2,54
10,4512,2,18
14,4008,0,0
20,1772,0,0
9,4684,2,24
5,5024,2,104
2,1607,0,0
12,3971,0,0
7,5552,0,0
2,6770,0,0
17,2290,2,26
2,382,1,26
7,4530,0,0
9,411,0,0
4,399,0,0
2,1756,2,36
20,1888,1,16
7,128,1,56
10,393,0,0
12,1210,0,0
15,2425,2,26
12,4356,2,24
17,2944,2,28
4,5140,0,0
15,3830,1,46
3,376,1,38
14,487,0,0
6,3917,0,0
17,3120,2,12
14,694,0,0
13,1294,1,22
20,2476,2,16
22,1652,2,20
15,2772,1,16
9,5008,2,16
18,1238,0,0
2,8071,0,0
5,2152,2,12
12,4146,0,0
10,995,1,20
8,4804,2,72
22,479,0,0
2,9008,1,28
12,2178,0,0
4,3072,1,10
11,4844,1,16
2,1209,0,0
17,3108,1,12
9,149,0,0
20,1776,1,8
7,902,2,17
17,1868,1,32
1,134,2,30
21,1700,2,64
3,2954,0,0
11,274,0,0
4,6048,2,12
4,5516,2,156
8,4044,1,20
4,3348,2,20
3,1624,1,32
3,7326,2,30
4,5690,0,0
9,2486,0,0
3,5491,0,0
11,1908,0,0
9,2009,0,0
13,1068,1,24
1,2186,0,0
3,1168,0,0
1,2957,0,0
1,7174,2,14
16,2036,1,46
11,4550,2,68
1,5043,0,0
11,4808,1,38
12,4384,1,32
4,4291,0,0
4,2267,0,0
8,2908,1,10
3,408,0,0
20,1336,2,22
16,2334,1,8
5,6047,0,0
12,4705,0,0
8,5380,2,32
1,8474,2,8
8,4886,0,0
10,580,1,28
16,117,0,0
14,992,2,12
7,1584,1,8
11,796,1,32
1,9225,0,0
22,1566,0,0
13,574,0,0
3,1586,0,0
6,1983,0,0
5,216,1,56
8,4078,0,0
20,1614,2,12
15,319,0,0
21,1400,1,44
7,4272,1,32
20,1216,1,40
10,3048,0,0
15,1117,0,0
15,3176,0,0
7,4868,1,56
11,2224,0,0
1,3140,0,0
18,1199,0,0
14,1036,1,128
14,2124,1,28
3,2016,1,40
8,4192,0,0
9,2003,0,0
12,2156,2,8
22,798,2,10
5,4212,0,0
9,1897,0,0
13,2944,0,0
7,3514,2,38
7,5167,0,0
20,1280,1,12
3,7454,2,28
18,814,1,29
7,4304,2,32
9,5623,0,0
4,5828,0,0
13,289,0,0
2,6740,0,0
19,1376,0,0
6,664,0,0
15,2607,0,0
4,2664,0,0
3,2366,1,30
2,339,0,0
6,1668,1,20
2,1166,1,12
5,771,0,0
7,140,0,0
21,888,0,0
16,144,1,32
2,1214,1,24
9,328,0,0
6,628,1,20
13,4474,0,0
2,6248,2,40
2,1293,0,0
20,1070,0,0
1,4237,0,0
1,472,2,28
8,604,0,0
12,608,1,36
5,2303,0,0
12,2744,2,38
6,1104,0,0
19,1317,0,0
12,3080,2,22
1,29,0,0
18,525,0,0
1,932,1,20
10,4060,1,20
18,740,1,38
18,711,0,0
5,1400,2,36
1,9450,1,20
10,3924,2,16
13,1751,0,0
15,3810,0,0
2,7018,0,0
13,2348,0,0
13,3208,1,56
7,3287,0,0
11,1407,0,0
8,1296,2,52
2,3384,1,38
3,1358,0,0
22,1792,0,0
3,5096,0,0
6,3933,0,0
18,2863,0,0
8,2378,2,46
15,1396,1,14
4,7486,2,32
5,4518,1,58
8,616,0,0
22,778,0,0
11,4994,0,0
9,4795,0,0
5,5350,0,0
10,1737,0,0
1,8990,0,0
6,1800,0,0
4,5048,2,36
9,1628,0,0
3,6070,0,0
6,3740,1,88
2,1212,2,34
16,1948,1,28
6,218,2,16
2,1604,1,78
13,1714,1,12
10,1352,0,0
2,3353,0,0
7,641,0,0
14,2938,2,22
2,1734,2,12
1,2620,2,8
8,3800,2,12
12,520,1,16
14,812,2,812
1,9415,0,0
17,402,0,0
19,2206,0,0
4,652,1,48
14,1220,0,0
1,8020,1,24
15,1372,1,38
21,1400,2,40
4,544,2,36
1,4664,2,44
3,1776,1,24
9,4734,1,44
1,7044,1,4
15,3088,1,40
12,4449,0,0
12,3228,1,40
15,3938,0,0
2,1606,0,0
2,8842,0,0
7,532,1,56
8,2840,1,24
15,2966,0,0
7,6288,1,48
7,3268,2,24
1,6424,2,8
20,1676,2,64
2,2343,0,0
7,6332,2,44
4,1519,0,0
9,4378,0,0
22,788,1,10
10,2036,0,0
11,2875,0,0
9,272,1,30
7,1622,1,58
2,1764,1,44
6,2002,1,22
17,276,1,8
18,102,2,10
12,2548,0,0
1,9460,0,0
18,1777,0,0
1,2081,0,0
2,5458,0,0
3,6780,1,16
20,1928,2,12
1,5703,0,0
4,5757,0,0
11,414,0,0
19,508,2,40
2,5426,0,0
1,2897,0,0
21,279,0,0
2,8940,1,68
22,1426,1,36
